Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,2.2242,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.3,right,1,0.6584,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.25,left,1,0.7645,0,2,2,0,1,shoe,Stim/Prac (1).jpg,phone,left,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.25,right,1,0.5366,0,3,3,1,1,castle,Stim/Prac (2).png,car,right,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.3,left,1,0.7142,,,,,,truck,Stim/OBJ (45)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,left,glasses,0.2998,0,0,0,27,1,45,Inanimate,2
0.3,right,1,0.4703,,,,,,hand,Stim/OBJ (25)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,duck,0.3003,0,1,1,17,1,25,Animate,2
0.25,right,1,0.4461,,,,,,umbrella,Stim/OBJ (47)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,key,0.3007,0,2,2,29,1,47,Inanimate,2
0.25,left,1,0.6041,,,,,,elephant,Stim/OBJ (18)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,left,fish,0.2502,0,3,3,11,1,18,Animate,2
0.25,right,1,0.4076,,,,,,duck,Stim/OBJ (17)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,butterfly,0.2502,0,4,4,10,1,17,Animate,2
0.2,left,1,0.4556,,,,,,cow,Stim/OBJ (14)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,left,elephant,0.2507,0,5,5,8,1,14,Animate,2
0.2,right,1,0.7483,,,,,,foot,Stim/OBJ (21)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,mouse,0.2001,0,6,6,14,1,21,Animate,2
0.2,right,1,0.4519,,,,,,fish,Stim/OBJ (19)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,duck,0.2005,0,7,7,12,1,19,Animate,2
0.15,left,1,0.5177,,,,,,apple,Stim/OBJ (4)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,left,guitar,0.1999,0,8,8,1,1,4,Inanimate,2
0.15,right,1,0.4789,,,,,,fork,Stim/OBJ (22)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,airplane,0.1501,0,9,9,15,1,22,Inanimate,2
0.15,right,1,0.4963,,,,,,bear,Stim/OBJ (6)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,cat,0.1507,0,10,10,2,1,6,Animate,2
0.1,right,1,0.9467,,,,,,kite,Stim/OBJ (30)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,apple,0.1499,0,11,11,20,1,30,Inanimate,2
0.1,right,1,0.5577,,,,,,spoon,Stim/OBJ (41)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,leaf,0.1002,0,12,12,24,1,41,Inanimate,2
0.1,right,1,0.5063,,,,,,turtle,Stim/OBJ (46)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,frog,0.0999,0,13,13,28,1,46,Animate,2
0.1,right,1,0.4924,,,,,,flower,Stim/OBJ (20)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,kite,0.0997,0,14,14,13,1,20,Inanimate,2
0.1,left,1,1.2573,,,,,,key,Stim/OBJ (29)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,left,watch,0.0999,0,15,15,19,1,29,Inanimate,2
0.1,right,0,0.4802,,,,,,chair,Stim/OBJ (12)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,left,kite,0.0999,0,16,16,7,1,12,Inanimate,2
0.1,right,1,0.5284,,,,,,butterfly,Stim/OBJ (10)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,dog,0.0996,0,17,17,5,1,10,Animate,2
0.1,right,1,0.5057,,,,,,lamp,Stim/OBJ (31)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,umbrella,0.1001,0,18,18,21,1,31,Inanimate,2
0.1,left,1,0.7136,,,,,,leaf,Stim/OBJ (32)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,left,key,0.1002,0,19,19,22,1,32,Inanimate,2
0.1,right,1,0.5186,,,,,,tree,Stim/OBJ (44)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,airplane,0.1001,0,20,20,26,1,44,Inanimate,2
0.1,right,1,0.668,,,,,,bird,Stim/OBJ (8)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,deer,0.1002,0,21,21,4,1,8,Animate,2
0.1,right,1,0.6491,,,,,,rabbit,Stim/OBJ (38)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,right,fish,0.1002,0,22,22,23,1,38,Animate,2
0.1,left,1,0.6238,,,,,,dog,Stim/OBJ (16)_ripple.png,,,5bcae4e85c2b810001dc2466,2023-06-22_18h44.47.457,KorNet_adult_perturbed,2020.2.0,Win32,60,left,deer,0.0998,0,23,23,9,1,16,Animate,2
