Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,1,1.9814,0,0,0,1,1,castle,Stim/Prac (2).png,car,right,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.3,left,1,0.9869,0,1,1,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.25,right,1,0.7017,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.25,left,1,0.7025,0,3,3,0,1,shoe,Stim/Prac (1).jpg,phone,left,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.3,right,1,0.6914,,,,,,elephant,Stim/Complete/OBJ (18).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,right,deer,0.3017,0,0,0,11,1,18,Animate,1
0.3,right,1,0.5726,,,,,,guitar,Stim/Complete/OBJ (27).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,right,tree,0.2984,0,1,1,18,1,27,Inanimate,1
0.25,left,1,0.606,,,,,,airplane,Stim/Complete/OBJ (1).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,left,fork,0.2972,0,2,2,0,1,1,Inanimate,1
0.25,right,1,0.6019,,,,,,bicycle,Stim/Complete/OBJ (7).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,right,chair,0.2507,0,3,3,3,1,7,Inanimate,1
0.25,left,1,0.637,,,,,,squirrel,Stim/Complete/OBJ (42).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,left,butterfly,0.2496,0,4,4,25,1,42,Animate,1
0.2,right,1,0.7704,,,,,,cow,Stim/Complete/OBJ (14).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,right,butterfly,0.2523,0,5,5,8,1,14,Animate,1
0.2,left,0,2.1142,,,,,,tree,Stim/Complete/OBJ (44).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,right,truck,0.477,0,6,6,26,1,44,Inanimate,1
0.2,left,1,0.7196,,,,,,apple,Stim/Complete/OBJ (4).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,left,toothbrush,0.1996,0,7,7,1,1,4,Inanimate,1
0.2,left,1,0.7971,,,,,,cat,Stim/Complete/OBJ (11).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,left,hand,0.1985,0,8,8,6,1,11,Animate,1
0.15,right,1,0.6706,,,,,,bird,Stim/Complete/OBJ (8).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,right,rabbit,0.2002,0,9,9,4,1,8,Animate,1
0.15,right,1,1.2085,,,,,,frog,Stim/Complete/OBJ (23).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,right,ant,0.1501,0,10,10,16,1,23,Animate,1
0.15,right,1,0.5714,,,,,,hand,Stim/Complete/OBJ (25).png,,,5d07fc124e753800168ccafe,2023-06-22_16h48.33.693,KorNet_adult_complete,2020.2.0,MacIntel,60,right,bird,0.151,0,11,11,17,1,25,Animate,1
