Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,3.8898,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.3,left,1,1.2192,0,1,1,0,1,shoe,Stim/Prac (1).jpg,phone,left,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.25,right,1,0.9134,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.25,right,1,0.9746,0,3,3,1,1,castle,Stim/Prac (2).png,car,right,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.3,left,1,1.1867,,,,,,chair,Stim/OBJ (12)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,key,0.3007,0,0,0,7,1,12,Inanimate,2
0.3,right,1,1.8428,,,,,,turtle,Stim/OBJ (46)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,kangaroo,0.2999,0,1,1,28,1,46,Animate,2
0.25,right,1,0.8897,,,,,,rabbit,Stim/OBJ (38)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,frog,0.2999,0,2,2,23,1,38,Animate,2
0.25,left,1,1.1151,,,,,,fish,Stim/OBJ (19)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,penguin,0.2508,0,3,3,12,1,19,Animate,2
0.25,left,1,1.2948,,,,,,foot,Stim/OBJ (21)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,penguin,0.2509,0,4,4,14,1,21,Animate,2
0.2,right,1,0.7235,,,,,,tree,Stim/OBJ (44)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,watch,0.2498,0,5,5,26,1,44,Inanimate,2
0.2,right,1,0.9262,,,,,,airplane,Stim/OBJ (1)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,lamp,0.2001,0,6,6,0,1,1,Inanimate,2
0.2,left,1,1.3044,,,,,,fork,Stim/OBJ (22)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,key,0.1993,0,7,7,15,1,22,Inanimate,2
0.15,right,1,0.8958,,,,,,cow,Stim/OBJ (14)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,cat,0.2008,0,8,8,8,1,14,Animate,2
0.15,right,1,2.5265,,,,,,truck,Stim/OBJ (45)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,chair,0.1498,0,9,9,27,1,45,Inanimate,2
0.15,right,1,0.8317,,,,,,elephant,Stim/OBJ (18)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,foot,0.151,0,10,10,11,1,18,Animate,2
0.1,right,1,0.8907,,,,,,frog,Stim/OBJ (23)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,cat,0.1509,0,11,11,16,1,23,Animate,2
0.1,left,1,1.0451,,,,,,butterfly,Stim/OBJ (10)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,kangaroo,0.0997,0,12,12,5,1,10,Animate,2
0.1,right,1,0.7691,,,,,,flower,Stim/OBJ (20)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,leaf,0.101,0,13,13,13,1,20,Inanimate,2
0.1,left,1,1.9555,,,,,,kite,Stim/OBJ (30)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,key,0.1,0,14,14,20,1,30,Inanimate,2
0.1,left,1,0.982,,,,,,cat,Stim/OBJ (11)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,bear,0.1107,0,15,15,6,1,11,Animate,2
0.1,left,1,0.9238,,,,,,bear,Stim/OBJ (6)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,rabbit,0.1004,0,16,16,2,1,6,Animate,2
0.1,right,1,0.8117,,,,,,lamp,Stim/OBJ (31)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,apple,0.1009,0,17,17,21,1,31,Inanimate,2
0.1,left,1,1.2615,,,,,,squirrel,Stim/OBJ (42)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,cow,0.1,0,18,18,25,1,42,Animate,2
0.1,right,1,0.942,,,,,,bird,Stim/OBJ (8)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,dog,0.0989,0,19,19,4,1,8,Animate,2
0.1,right,1,0.9299,,,,,,guitar,Stim/OBJ (27)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,tree,0.0988,0,20,20,18,1,27,Inanimate,2
0.1,left,1,2.9835,,,,,,key,Stim/OBJ (29)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,fork,0.1004,0,21,21,19,1,29,Inanimate,2
0.1,left,1,1.1071,,,,,,duck,Stim/OBJ (17)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,left,penguin,0.101,0,22,22,10,1,17,Animate,2
0.1,right,1,0.7376,,,,,,umbrella,Stim/OBJ (47)_ripple.png,,,5f57aaeb5619fa2893adc008,2023-06-22_18h46.32.591,KorNet_adult_perturbed,2020.2.0,Win32,60,right,spoon,0.0997,0,23,23,29,1,47,Inanimate,2
