Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,1.0313,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.3,right,1,0.7645,0,1,1,1,1,castle,Stim/Prac (2).png,car,right,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.25,left,1,0.7316,0,2,2,0,1,shoe,Stim/Prac (1).jpg,phone,left,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.25,right,1,0.7304,0,3,3,2,1,balloon,Stim/Prac (3).jpg,computer,right,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,,,,,,,,,,,
0.3,left,1,0.7963,,,,,,chair,Stim/Complete/OBJ (12).png,,,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,left,guitar,0.2967,0,0,0,7,1,12,Inanimate,1
0.3,left,1,0.7304,,,,,,spoon,Stim/Complete/OBJ (41).png,,,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,left,airplane,0.2956,0,1,1,24,1,41,Inanimate,1
0.25,right,1,0.6448,,,,,,guitar,Stim/Complete/OBJ (27).png,,,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,right,toothbrush,0.2978,0,2,2,18,1,27,Inanimate,1
0.25,left,1,0.9123,,,,,,hand,Stim/Complete/OBJ (25).png,,,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,left,butterfly,0.2498,0,3,3,17,1,25,Animate,1
0.25,right,1,0.5472,,,,,,foot,Stim/Complete/OBJ (21).png,,,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,right,deer,0.2494,0,4,4,14,1,21,Animate,1
0.2,right,1,0.48,,,,,,elephant,Stim/Complete/OBJ (18).png,,,610063b7b50c4e9488e77eca,2023-06-22_17h46.22.081,KorNet_adult_complete,2020.2.0,MacIntel,60,right,cat,0.2507,0,5,5,11,1,18,Animate,1
