Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,4.2408,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,,,,,,,,,,,
0.3,right,1,0.8775,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,,,,,,,,,,,
0.25,left,1,1.0215,0,2,2,0,1,shoe,Stim/Prac (1).jpg,phone,left,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,,,,,,,,,,,
0.25,right,1,0.7823,0,3,3,1,1,castle,Stim/Prac (2).png,car,right,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,,,,,,,,,,,
0.3,left,1,0.6503,,,,,,dog,Stim/OBJ (16)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,cat,0.3003,0,0,0,9,1,16,Animate,3
0.3,left,1,0.6373,,,,,,cat,Stim/OBJ (11)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,rabbit,0.2999,0,1,1,6,1,11,Animate,3
0.3,right,0,0.864,,,,,,cow,Stim/OBJ (14)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,dog,0.3005,0,2,2,8,1,14,Animate,3
0.3,right,1,0.9953,,,,,,bear,Stim/OBJ (6)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,elephant,0.2986,0,3,3,2,1,6,Animate,3
0.3,left,1,0.7142,,,,,,butterfly,Stim/OBJ (10)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,elephant,0.2986,0,4,4,5,1,10,Animate,3
0.25,left,1,0.5706,,,,,,umbrella,Stim/OBJ (47)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,toothbrush,0.3,0,5,5,29,1,47,Inanimate,3
0.25,left,1,0.9117,,,,,,leaf,Stim/OBJ (32)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,key,0.2501,0,6,6,22,1,32,Inanimate,3
0.25,left,1,0.6479,,,,,,hand,Stim/OBJ (25)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,elephant,0.2499,0,7,7,17,1,25,Animate,3
0.2,right,1,1.7492,,,,,,key,Stim/OBJ (29)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,guitar,0.2504,0,8,8,19,1,29,Inanimate,3
0.2,right,1,1.2323,,,,,,fish,Stim/OBJ (19)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,hand,0.1998,0,9,9,12,1,19,Animate,3
0.2,left,1,1.0421,,,,,,bird,Stim/OBJ (8)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,frog,0.1998,0,10,10,4,1,8,Animate,3
0.15,left,1,1.1159,,,,,,fork,Stim/OBJ (22)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,airplane,0.2009,0,11,11,15,1,22,Inanimate,3
0.15,left,0,1.6278,,,,,,frog,Stim/OBJ (23)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,rabbit,0.1487,0,12,12,16,1,23,Animate,3
0.15,left,1,1.3604,,,,,,airplane,Stim/OBJ (1)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,leaf,0.1489,0,13,13,0,1,1,Inanimate,3
0.15,left,1,1.1683,,,,,,truck,Stim/OBJ (45)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,leaf,0.1512,0,14,14,27,1,45,Inanimate,3
0.1,left,1,1.2128,,,,,,guitar,Stim/OBJ (27)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,lamp,0.1491,0,15,15,18,1,27,Inanimate,3
0.1,right,1,1.7014,,,,,,squirrel,Stim/OBJ (42)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,fish,0.1001,0,16,16,25,1,42,Animate,3
0.1,right,1,1.9374,,,,,,duck,Stim/OBJ (17)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,frog,0.0989,0,17,17,10,1,17,Animate,3
0.1,left,1,1.6589,,,,,,tree,Stim/OBJ (44)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,fork,0.0996,0,18,18,26,1,44,Inanimate,3
0.1,left,1,1.9287,,,,,,flower,Stim/OBJ (20)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,fork,0.1012,0,19,19,13,1,20,Inanimate,3
0.1,right,0,1.4743,,,,,,foot,Stim/OBJ (21)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,penguin,0.1008,0,20,20,14,1,21,Animate,3
0.1,right,1,0.7819,,,,,,apple,Stim/OBJ (4)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,airplane,0.0988,0,21,21,1,1,4,Inanimate,3
0.1,right,1,0.8437,,,,,,bicycle,Stim/OBJ (7)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,airplane,0.0996,0,22,22,3,1,7,Inanimate,3
0.1,right,1,1.2625,,,,,,turtle,Stim/OBJ (46)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,right,dog,0.0991,0,23,23,28,1,46,Animate,3
0.1,left,1,1.6661,,,,,,elephant,Stim/OBJ (18)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,ant,0.1,0,24,24,11,1,18,Animate,3
0.1,right,0,1.2578,,,,,,chair,Stim/OBJ (12)_IC.png,,,611ad53d9f70961b237141b2,2023-06-22_18h43.27.968,KorNet_adult_deleted,2020.2.0,Win32,60,left,lamp,0.0983,0,25,25,7,1,12,Inanimate,3
