Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,1,4.657,0,0,0,1,1,castle,Stim/Prac (2).png,car,right,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.3,left,1,1.387,0,1,1,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.25,right,1,2.855,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.25,left,1,1.582,0,3,3,0,1,shoe,Stim/Prac (1).jpg,phone,left,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,,,,,,,,,,,
0.3,right,1,1.049,,,,,,foot,Stim/OBJ (21)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,bear,0.3,0,0,0,14,1,21,Animate,2
0.3,right,1,0.694,,,,,,guitar,Stim/OBJ (27)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,kite,0.301,0,1,1,18,1,27,Inanimate,2
0.25,right,1,0.728,,,,,,spoon,Stim/OBJ (41)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,fork,0.301,0,2,2,24,1,41,Inanimate,2
0.25,left,1,0.752,,,,,,tree,Stim/OBJ (44)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,key,0.25,0,3,3,26,1,44,Inanimate,2
0.25,right,1,1.065,,,,,,airplane,Stim/OBJ (1)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,lamp,0.25,0,4,4,0,1,1,Inanimate,2
0.2,left,1,0.65,,,,,,dog,Stim/OBJ (16)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,butterfly,0.25,0,5,5,9,1,16,Animate,2
0.2,left,1,0.718,,,,,,chair,Stim/OBJ (12)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,apple,0.2,0,6,6,7,1,12,Inanimate,2
0.2,left,1,0.869,,,,,,duck,Stim/OBJ (17)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,rabbit,0.2,0,7,7,10,1,17,Animate,2
0.15,left,1,0.853,,,,,,hand,Stim/OBJ (25)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,dog,0.2,0,8,8,17,1,25,Animate,2
0.15,left,1,0.82,,,,,,butterfly,Stim/OBJ (10)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,frog,0.15,0,9,9,5,1,10,Animate,2
0.15,right,1,1.547,,,,,,fish,Stim/OBJ (19)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,cat,0.15,0,10,10,12,1,19,Animate,2
0.1,right,1,0.931,,,,,,elephant,Stim/OBJ (18)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,hand,0.151,0,11,11,11,1,18,Animate,2
0.1,left,1,1.688,,,,,,bicycle,Stim/OBJ (7)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,truck,0.101,0,12,12,3,1,7,Inanimate,2
0.1,right,1,0.738,,,,,,apple,Stim/OBJ (4)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,fork,0.1,0,13,13,1,1,4,Inanimate,2
0.1,right,1,1.586,,,,,,frog,Stim/OBJ (23)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,duck,0.1,0,14,14,16,1,23,Animate,2
0.1,right,0,1.567,,,,,,rabbit,Stim/OBJ (38)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,mouse,0.1,0,15,15,23,1,38,Animate,2
0.1,left,0,0.968,,,,,,leaf,Stim/OBJ (32)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,glasses,0.101,0,16,16,22,1,32,Inanimate,2
0.1,left,1,1.483,,,,,,lamp,Stim/OBJ (31)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,scissors,0.101,0,17,17,21,1,31,Inanimate,2
0.1,left,0,1.823,,,,,,fork,Stim/OBJ (22)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,kite,0.1,0,18,18,15,1,22,Inanimate,2
0.1,right,1,0.996,,,,,,bear,Stim/OBJ (6)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,deer,0.1,0,19,19,2,1,6,Animate,2
0.1,left,1,1.033,,,,,,bird,Stim/OBJ (8)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,bear,0.1,0,20,20,4,1,8,Animate,2
0.1,left,0,1.734,,,,,,kite,Stim/OBJ (30)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,key,0.099,0,21,21,20,1,30,Inanimate,2
0.1,left,1,1.213,,,,,,cow,Stim/OBJ (14)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,mouse,0.1,0,22,22,8,1,14,Animate,2
0.1,right,0,1.669,,,,,,flower,Stim/OBJ (20)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,airplane,0.1,0,23,23,13,1,20,Inanimate,2
0.1,left,0,1.207,,,,,,cat,Stim/OBJ (11)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,deer,0.1,0,24,24,6,1,11,Animate,2
0.15,left,0,0.883,,,,,,key,Stim/OBJ (29)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,airplane,0.099,0,25,25,19,1,29,Inanimate,2
0.15,right,1,0.67,,,,,,truck,Stim/OBJ (45)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,toothbrush,0.15,0,26,26,27,1,45,Inanimate,2
0.15,right,1,0.719,,,,,,turtle,Stim/OBJ (46)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,fish,0.15,0,27,27,28,1,46,Animate,2
0.1,right,1,0.649,,,,,,umbrella,Stim/OBJ (47)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,right,fork,0.15,0,28,28,29,1,47,Inanimate,2
0.1,left,1,0.952,,,,,,squirrel,Stim/OBJ (42)_ripple.png,,,61261e160702ed60d09bb3a2,2023-06-22_18h46.14.156,KorNet_adult_perturbed,2020.2.0,Win32,60,left,duck,0.099,0,29,29,25,1,42,Animate,2
