Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,1.8275,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,,,,,,,,,,,
0.3,right,1,0.8536,0,1,1,1,1,castle,Stim/Prac (2).png,car,right,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,,,,,,,,,,,
0.25,left,1,1.2612,0,2,2,0,1,shoe,Stim/Prac (1).jpg,phone,left,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,,,,,,,,,,,
0.25,right,1,0.7071,0,3,3,2,1,balloon,Stim/Prac (3).jpg,computer,right,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,,,,,,,,,,,
0.3,right,1,0.798,,,,,,foot,Stim/OBJ (21)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,squirrel,0.3015,0,0,0,14,1,21,Animate,3
0.3,right,1,0.7332,,,,,,duck,Stim/OBJ (17)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,cow,0.2878,0,1,1,10,1,17,Animate,3
0.25,right,1,1.4847,,,,,,airplane,Stim/OBJ (1)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,chair,0.2933,0,2,2,0,1,1,Inanimate,3
0.25,right,1,0.7948,,,,,,bird,Stim/OBJ (8)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,duck,0.2507,0,3,3,4,1,8,Animate,3
0.25,left,1,1.2044,,,,,,cow,Stim/OBJ (14)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,left,bird,0.2479,0,4,4,8,1,14,Animate,3
0.2,right,1,0.6886,,,,,,rabbit,Stim/OBJ (38)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,cow,0.2602,0,5,5,23,1,38,Animate,3
0.2,right,1,0.959,,,,,,cat,Stim/OBJ (11)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,dog,0.2191,0,6,6,6,1,11,Animate,3
0.2,right,1,0.9118,,,,,,flower,Stim/OBJ (20)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,bicycle,0.1892,0,7,7,13,1,20,Inanimate,3
0.2,left,0,1.2331,,,,,,chair,Stim/OBJ (12)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,flower,0.2119,0,8,8,7,1,12,Inanimate,3
0.2,right,1,1.5633,,,,,,umbrella,Stim/OBJ (47)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,kite,0.1888,0,9,9,29,1,47,Inanimate,3
0.2,right,1,1.0531,,,,,,leaf,Stim/OBJ (32)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,key,0.2021,0,10,10,22,1,32,Inanimate,3
0.15,right,1,1.3486,,,,,,squirrel,Stim/OBJ (42)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,deer,0.1924,0,11,11,25,1,42,Animate,3
0.15,left,1,1.1873,,,,,,guitar,Stim/OBJ (27)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,left,apple,0.1711,0,12,12,18,1,27,Inanimate,3
0.15,right,1,1.9155,,,,,,key,Stim/OBJ (29)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,right,lamp,0.1902,0,13,13,19,1,29,Inanimate,3
0.1,left,1,2.097,,,,,,bear,Stim/OBJ (6)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,left,frog,0.1706,0,14,14,2,1,6,Animate,3
0.1,left,1,1.7206,,,,,,frog,Stim/OBJ (23)_IC.png,,,SI,2023-04-25_11h49.04.840,KorNet_kid_deleted,2020.2.0,Win32,60,left,bear,0.0887,0,15,15,16,1,23,Animate,3
